,place (country),place (city),latitude  degrees,latitude minutes,latitude seconds,latitude direction,longitude degrees,longitude minutes,longitude seconds,longitude direction,How many  people known with Covid-19 symptoms ,How many people known who couldn't access to hospital because of Covid,Access to healthcare (good/bad),fear of Covid (yes/no),"received help  (yes economical, yes sanitary, yes but not enough, no)","received help  (yes economical, yes sanitary, yes but not enough, no).1",Name of NGO or other who helped,Name of NGO who helped 2,Name of NGO who helped 3,"reported having left after the interview (no, yes to Libya, yes to Europe, tried to cross the sea but didn't succeed, yes to another city)"
0,,,,,,,,,,,,,,,,,,,,
1,Libya,Tripoli,32.0,52.0,"30,68",N,13.0,11.0,"14,86",E,,,,no,,,,,,tried to cross the sea but didn't succeed
2,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,no,,,,,,
3,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
4,Niger,Agadez,16.0,52.0,"39,2",N,7.0,54.0,"47,4",E,,,bad,yes,yes but not enough,yes economical,Red Cross,UNHCR,,yes to another city
5,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
6,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
7,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
8,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
9,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
10,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,no,,,,,,
11,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,0.0,,bad,yes,yes but not enough,yes economical,State,,,
12,Tunisia,Tunis,36.0,59.0,"9,9",N,10.0,19.0,"46,2",E,0.0,1.0,bad,,yes but not enough,,citizens,,,
13,Tunisia,Tunis,36.0,50.0,"18,6",N,10.0,14.0,"42,6",E,0.0,,good,,yes economical,,UNHCR,,,
14,Tunisia,Tunis,36.0,48.0,3,N,10.0,19.0,48,E,0.0,,,,yes but not enough,,UNHCR,,,yes to Libya
15,Tunisia,Tunis,36.0,48.0,3,N,10.0,19.0,48,E,0.0,,,,yes but not enough,yes economical,UNHCR,"""help organisation""",,
16,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,0.0,,,,no,,,,,
17,Libya,Zawiya,32.0,45.0,16,N,12.0,43.0,37,E,0.0,,,,,,,,,tried to cross the sea but didn't succeed
18,Libya,Garabulli,32.0,44.0,"56,6",N,13.0,42.0,"57,7",E,,,,,,,,,,tried to cross the sea but didn't succeed
19,Libya,Tripoli,32.0,42.0,"30,68",N,13.0,11.0,"14,86",E,0.0,,bad,no,no,,,,,
20,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,0.0,,bad,,yes economical,,Cellule de solidatit afrricaine,,,
21,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,bad,yes,no,,,,,
22,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,bad,yes,no,,,,,
23,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
24,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,0.0,,good,,,,,,,
25,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,0.0,2.0,bad,,yes economical,,IOM,citizens,,
26,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,bad,,no,,,,,
27,Tunisia,Zarzis,33.0,32.0,"33,3",N,11.0,5.0,"18,8",E,0.0,,good,,yes economical,,IOM,,,
28,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,yes economical,,citizen,IOM,,
29,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,0.0,,,,no,,,,,
30,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,yes but not enough,,IOM,,,
31,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,bad,,yes but not enough,,IOM,,,
32,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,yes to Europe
33,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,No,,,,,
34,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,bad,,yes but not enough,,citizen,IOM,,
35,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,yes but not enough,,citizens,IOM,,
36,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,bad,,,,,,,
37,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
38,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
39,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
40,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,yes but not enough,,citizens,international NGO,civil society,
41,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,no,,,,,,
42,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,yes but not enough,,citizens,IOM,,
43,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,don't know,,yes but not enough,,IOM,,,
44,Tunisia,Medinine,33.0,20.0,23,N,10.0,29.0,34,E,0.0,,bad,,yes but not enough,,IOM,,,
45,Tunisia,Medinine,33.0,21.0,35,N,10.0,30.0,6,E,,,bad,,yes but not enough,,UNHCR,,,
46,Tunisia,Medinine,33.0,21.0,35,N,10.0,30.0,6,E,0.0,,bad,,yes but not enough,,UNHCR,,,
47,Tunisia,Medinine,33.0,31.0,34,N,10.0,30.0,5,E,,,bad,,yes but not enough,,IOM,,,
48,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
49,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
50,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
51,Tunisia,Zarzis,33.0,35.0,20,N,11.0,4.0,27,E,0.0,,good,,yes sanitary,,UNHCR,,,
52,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
53,Tunisia,Ajim,33.0,43.0,53,N,10.0,45.0,39,E,,,,,,,,,,
54,Tunisia,Djerba,33.0,48.0,25,N,10.0,55.0,24,E,,,good,,no,,,,,
55,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,0.0,1.0,bad,yes/no,yes economical,,IOM,,,
56,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,yes to Libya
57,Libya,Zuwara,32.0,56.0,0,N,12.0,5.0,0,E,,,,,,,,,,disapeared
58,Tunisia,Medinine,33.0,32.0,2,N,10.0,30.0,34,E,,,bad,,no,,UNHCR,,,
59,Tunisia,Medinine,33.0,32.0,2,N,10.0,30.0,34,E,,,bad,yes,no,,UNHCR,,,
60,Tunisia,Medinine,33.0,32.0,2,N,10.0,30.0,34,E,,,bad,yes,no,,UNHCR,,,
61,Tunisia,Medinine,33.0,32.0,2,N,10.0,30.0,34,E,,,bad,,,,,,,
62,Tunisia,Medinine,33.0,32.0,2,N,10.0,30.0,34,E,,,bad,yes,no,,,,,
63,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,yes economical,,IOM,,,
64,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,0.0,,bad,,yes economical,,unknown,,,yes to Libya
65,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,0.0,1.0,bad,,yes economical,,Cellule de solidarit africaine,Terre d'Asile,IOM,
66,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,bad,,yes economical,,Cellule de solidarit africaine,,,
67,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,good,,yes economical,,Cellule de solidarit africaine,,,
68,Tunisia,Kelibia,36.0,50.0,51,N,11.0,5.0,38,E,,,,,,,,,,
69,Tunisia,Kelibia,36.0,50.0,51,N,11.0,5.0,38,E,,,,no,,,,,,
70,Tunisia,Kelibia,36.0,50.0,51,N,11.0,5.0,38,E,,,,,,,,,,
71,Tunisia,Kelibia,36.0,50.0,51,N,11.0,5.0,38,E,,,,,,,,,,
72,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,0.0,,bad,,yes but not enough,,Conseil Tunisien pour les Rfugis,UNHCR,,
73,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,0.0,,,,yes but not enough,,UNHCR,Conseil Tunisien pour les rfugis,,yes to Europe
74,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,0.0,,bad,,yes but not enough,,Conseil Tunisien pour les Rfugis,UNHCR,,
75,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,,,,,,,,,,
76,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,,,,,No,,,,,
77,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,,,,,yes but not enough,,Conseil Tunisien pour les rfugis,UNHCR,,
78,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,,,,,yes but not enough,,,,,
79,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,0.0,,good,no,yes but not enough,yes sanitary,citizens,IOM,,
80,Tunisia,Sfax,34.0,46.0,"46,7",N,10.0,46.0,0,E,0.0,0.0,good,,yes but not enough,yes sanitary,Conseil Tunisien pour les rfugis,,,
81,Tunisia,Al Maharas,34.0,31.0,15,N,10.0,29.0,12,E,0.0,,bad,,yes but not enough,,Conseil Tunisien pour les Rfugis,UNHCR,,yes to Europe
82,Malta,unknown,35.0,49.0,43,N,14.0,27.0,17,E,,,,,,,,,,
83,Tunisia,Kerkennah,34.0,43.0,"43,3",N,11.0,17.0,"59,2",E,,,,,,,,,,
84,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,,,bad,,yes economical,,Baraa,,,
85,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,,,,,yes economical,,Municipality,,,
86,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,,,,,yes economical,,Municipality,IOM,many other associations,
87,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,,,,,yes economical,,Caritas,citizens,students,
88,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,,,,,yes economical,,Caritas,citizens,,
89,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,,,good,,yes sanitary,,Espace amis des jeunes,,,
90,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,,,good,,yes sanitary,,Red Crescent,CNSS,IOM,
91,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,,,,,yes economical,,Entraide et Avenir d'Afrrique,citizens,IOM,
92,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,0.0,0.0,,,yes economical,,Students,Municipality,IOM,
93,Tunisia,Sousse,35.0,50.0,0,N,10.0,38.0,0,E,0.0,,good,,yes economical,,citizens,IOM,,
94,Tunisia,Medinine,33.0,32.0,2,N,10.0,30.0,34,E,,,bad,,yes but not enough,,UNHCR,,,
95,Tunisia,Tunis,36.0,49.0,"42,3",N,10.0,11.0,"10,1",E,,,good,,yes economical,,Conseil Tunisien pour les rfugis,,,
96,Libya,Tripoli,32.0,52.0,"30,68",N,13.0,11.0,"14,8",E,0.0,,,,,,,,,
97,Tunisia,Sfax,34.0,44.0,26,N,10.0,45.0,37,E,,,,,,,,,,
98,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,yes,yes but not enough,yes sanitary,IOM,,,
99,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,yes,yes,,IOM,,,
100,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,yes,yes but not enough,,Medecin du Monde,,,
101,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,yes,No,,Red Cross,,,
102,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,yes,No,,,,,
103,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,yes,yes but not enough,yes sanitary,IOM,,,
104,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,,No,,,,,
105,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,yes,,,,,,
106,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,no,No,,,,,
107,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,1.0,,bad,,yes economical,,IOM,,,
108,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,yes,,,,,,
109,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,yes,No,,,,,
110,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,,,,,,,
111,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,yes,,,,,,
112,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,yes,yes sanitary,,Red Cross,,,
113,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,no,yes economical,,,,,
114,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,no,yes but not enough,yes sanitary,,,,
115,Niger,Agadez,16.0,59.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,yes,yes,,Medecins sans frontires,Croix rouge,,
116,Niger,Agadez,16.0,58.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,bad,,,,,,,
117,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,no,yes sanitary,,Medecins du Monde,,,
118,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,2.0,,,yes,,,,,,
119,Niger,Agadez,16.0,58.0,"37,4",N,8.0,1.0,"35,9",E,0.0,,,,,yes economical,IOM,,,
120,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,no,yes but not  enough,yes economical,UNHCR,APBE,,
121,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,no,yes economical,,UNHCR,,,
122,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
123,Tunisia,Tunis,36.0,50.0,"18,6",N,10.0,14.0,"42,6",E,16.0,,good,,yes sanitary,,UNHCR,,,
124,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,10.0,,,,,,,,,
